# docs/Project58/asserts.tsv — every string count operand NOT proven non-negative by construction,
# with the exact IR assert that discharges it at runtime.  Emit it immediately BEFORE the statement
# (same block; the count expression is evaluated in the statement's own context, IR.md 5.8).
# tier: base-class = a varying read (count = length word at A, data at A+1); cond = non-negative iff the
#       named length word(s) are; guard = proven by a dominating guard (no assert NEEDED, listed for completeness);
#       unknown = the tool could not decide (arithmetic / opaque / interprocedural); the assert still discharges it;
#       invariant (a005) = proven by dataflow: the count is a frame slot's length word (or C - it) and every writer of
#       that slot in the routine keeps it in [0, C] (literal assignments, the clamped append min(len+k, C)); no assert NEEDED;
#       derived (a004) = built from base-class length words by +, x, min/max: covered by the ROOT site's assert(s)
#       named in the root column (block:stmt role), which dominate it with the length word unchanged between.
# pc	block	stmt	op	routine	role	class	tier	needed	root	assert
7015C0AD	7015C0A3	0	WCMP	QUEST	s1/ac1	varying	guard	no		assert((sx16(M16[0x7000021C])) >=s 0, "P58 guard s1-ac1 @7015C0AD")
701649B6	70164984	13	WCMV	CAVE_ATTACK.2@70164600	dst/ac0	expr	derived	no	70164984:8 src/ac1	assert(((sx16(M16[wp(ac3, 6)]) + 0x29)) >=s 0, "P58 derived dst-ac0 @701649B6")
701649B6	70164984	13	WCMV	CAVE_ATTACK.2@70164600	src/ac1	expr	derived	no	70164984:8 src/ac1	assert(((sx16(M16[wp(ac3, 6)]) + 0x29)) >=s 0, "P58 derived src-ac1 @701649B6")
70164B15	70164AFD	8	WCMV	CAVE_ATTACK.2@70164600	dst/ac0	lenload-expr	derived	no	70164AFD:8 src/ac1	assert((sx16(M16[wp(ac3, 6)])) >=s 0, "P58 derived dst-ac0 @70164B15")
70164B15	70164AFD	8	WCMV	CAVE_ATTACK.2@70164600	src/ac1	varying	base-class	yes		assert((sx16(M16[wp(ac3, 6)])) >=s 0, "P58 base-class src-ac1 @70164B15")
70164B1E	70164AFD	10	WCMV	CAVE_ATTACK.2@70164600	dst/ac0	expr	derived	no	70164AFD:8 src/ac1	assert(((sx16(M16[wp(ac3, 6)]) + 0xD)) >=s 0, "P58 derived dst-ac0 @70164B1E")
70164B1E	70164AFD	10	WCMV	CAVE_ATTACK.2@70164600	src/ac1	expr	derived	no	70164AFD:8 src/ac1	assert(((sx16(M16[wp(ac3, 6)]) + 0xD)) >=s 0, "P58 derived src-ac1 @70164B1E")
70164B2F	70164AFD	13	WCMV	CAVE_ATTACK.2@70164600	dst/ac0	expr	derived	no	70164AFD:8 src/ac1	assert(((sx16(M16[wp(ac3, 6)]) + 0x30)) >=s 0, "P58 derived dst-ac0 @70164B2F")
70164B2F	70164AFD	13	WCMV	CAVE_ATTACK.2@70164600	src/ac1	expr	derived	no	70164AFD:8 src/ac1	assert(((sx16(M16[wp(ac3, 6)]) + 0x30)) >=s 0, "P58 derived src-ac1 @70164B2F")
70165111	70165102	4	WCMV	DISPLAY_MAP	dst/ac0	lenload-expr	derived	no	70165102:4 src/ac1	assert((sx16(M16[0x7000021C])) >=s 0, "P58 derived dst-ac0 @70165111")
70165111	70165102	4	WCMV	DISPLAY_MAP	src/ac1	varying	base-class	yes		assert((sx16(M16[0x7000021C])) >=s 0, "P58 base-class src-ac1 @70165111")
7016511D	70165102	7	WCMV	DISPLAY_MAP	dst/ac0	expr	derived	no	70165102:4 src/ac1	assert(((sx16(M16[0x7000021C]) + 1)) >=s 0, "P58 derived dst-ac0 @7016511D")
7016511D	70165102	7	WCMV	DISPLAY_MAP	src/ac1	expr	derived	no	70165102:4 src/ac1	assert(((sx16(M16[0x7000021C]) + 1)) >=s 0, "P58 derived src-ac1 @7016511D")
7016515C	70165135	13	WCMV	DISPLAY_MAP	dst/ac0	lenload-expr	derived	no	70165135:13 src/ac1	assert((sx16(M16[0x7000021C])) >=s 0, "P58 derived dst-ac0 @7016515C")
7016515C	70165135	13	WCMV	DISPLAY_MAP	src/ac1	varying	base-class	yes		assert((sx16(M16[0x7000021C])) >=s 0, "P58 base-class src-ac1 @7016515C")
70165165	70165135	15	WCMV	DISPLAY_MAP	dst/ac0	expr	derived	no	70165135:13 src/ac1	assert(((sx16(M16[0x7000021C]) + 0x15)) >=s 0, "P58 derived dst-ac0 @70165165")
70165165	70165135	15	WCMV	DISPLAY_MAP	src/ac1	expr	derived	no	70165135:13 src/ac1	assert(((sx16(M16[0x7000021C]) + 0x15)) >=s 0, "P58 derived src-ac1 @70165165")
70165173	70165135	19	WCMV	DISPLAY_MAP	dst/ac0	expr	derived	no	70165135:13 src/ac1	assert(((sx16(M16[0x7000021C]) + 0x16)) >=s 0, "P58 derived dst-ac0 @70165173")
70165173	70165135	19	WCMV	DISPLAY_MAP	src/ac1	expr	derived	no	70165135:13 src/ac1	assert(((sx16(M16[0x7000021C]) + 0x16)) >=s 0, "P58 derived src-ac1 @70165173")
701651CD	70165186	26	WCMV	DISPLAY_MAP	dst/ac0	register	derived	no	70165186:26 src/ac1	assert((ac0) >=s 0, "P58 derived dst-ac0 @701651CD")
701651CD	70165186	26	WCMV	DISPLAY_MAP	src/ac1	register	base-class	yes		assert((ac1) >=s 0, "P58 base-class src-ac1 @701651CD")
701651CD	70165186	32	WCMV	DISPLAY_MAP	dst/ac0	register	derived	no	70165186:26 src/ac1	assert((ac0) >=s 0, "P58 derived dst-ac0 @701651CD")
701651CD	70165186	32	WCMV	DISPLAY_MAP	src/ac1	register	derived	no	70165186:26 src/ac1	assert((ac1) >=s 0, "P58 derived src-ac1 @701651CD")
701651DE	70165186	38	WCMV	DISPLAY_MAP	dst/ac0	register	derived	no	70165186:26 src/ac1	assert((ac0) >=s 0, "P58 derived dst-ac0 @701651DE")
701651DE	70165186	38	WCMV	DISPLAY_MAP	src/ac1	register	derived	no	70165186:26 src/ac1	assert((ac1) >=s 0, "P58 derived src-ac1 @701651DE")
7016566D	70165661	7	WCMV	DISPLAY_MAP	dst/ac0	register	invariant	no	join{constant 2 | 80 - slot20 with the slot in [0, 80] (invariant)}	assert((ac0) >=s 0, "P58 invariant dst-ac0 @7016566D")
7016566D	70165661	7	WCMV	DISPLAY_MAP	src/ac1	register	invariant	no	join{constant 2 | 80 - slot20 with the slot in [0, 80] (invariant)}	assert((ac1) >=s 0, "P58 invariant src-ac1 @7016566D")
70165A5D	70165A5D	0	WCMV	DEFEND	dst/ac0	register	cond	yes		assert((ac0) >=s 0, "P58 cond dst-ac0 @70165A5D")
70165A5D	70165A5D	0	WCMV	DEFEND	src/ac1	register	derived	no	residue chain	assert((ac1) >=s 0, "P58 derived src-ac1 @70165A5D")
70165A94	70165A6E	15	WCMV	DEFEND	dst/ac0	lenload-expr	derived	no	70165A6E:15 src/ac1	assert((sx16(M16[((sx16(M16[wp(ac3, 5)]) * 0xC) - 0xFFFFD9A)])) >=s 0, "P58 derived dst-ac0 @70165A94")
70165A94	70165A6E	15	WCMV	DEFEND	src/ac1	lenload-expr	base-class	yes		assert((sx16(M16[((sx16(M16[wp(ac3, 5)]) * 0xC) - 0xFFFFD9A)])) >=s 0, "P58 base-class src-ac1 @70165A94")
70165A9D	70165A6E	17	WCMV	DEFEND	dst/ac0	expr	derived	no	70165A6E:15 src/ac1	assert(((sx16(M16[((sx16(M16[wp(ac3, 5)]) * 0xC) - 0xFFFFD9A)]) + 0x18)) >=s 0, "P58 derived dst-ac0 @70165A9D")
70165A9D	70165A6E	17	WCMV	DEFEND	src/ac1	expr	derived	no	70165A6E:15 src/ac1	assert(((sx16(M16[((sx16(M16[wp(ac3, 5)]) * 0xC) - 0xFFFFD9A)]) + 0x18)) >=s 0, "P58 derived src-ac1 @70165A9D")
70165AA4	70165A6E	19	WCMV	DEFEND	dst/ac0	lenload-expr	derived	no	70165A6E:19 src/ac1	assert((sx16(M16[wp(ac3, 0x12)])) >=s 0, "P58 derived dst-ac0 @70165AA4")
70165AA4	70165A6E	19	WCMV	DEFEND	src/ac1	varying	base-class	yes		assert((sx16(M16[wp(ac3, 0x12)])) >=s 0, "P58 base-class src-ac1 @70165AA4")
70165AAF	70165A6E	21	WCMV	DEFEND	dst/ac0	expr	derived	no	70165A6E:15 src/ac1 & 70165A6E:19 src/ac1	assert(((sx16(M16[((sx16(M16[wp(ac3, 5)]) * 0xC) - 0xFFFFD9A)]) + sx16(M16[wp(ac3, 0x12)]) + 0x18)) >=s 0, "P58 derived dst-ac0 @70165AAF")
70165AAF	70165A6E	21	WCMV	DEFEND	src/ac1	expr	derived	no	70165A6E:15 src/ac1 & 70165A6E:19 src/ac1	assert(((sx16(M16[((sx16(M16[wp(ac3, 5)]) * 0xC) - 0xFFFFD9A)]) + sx16(M16[wp(ac3, 0x12)]) + 0x18)) >=s 0, "P58 derived src-ac1 @70165AAF")
70165BCB	70165BB4	8	WCMV	DEFEND	dst/ac0	lenload-expr	derived	no	70165BB4:8 src/ac1	assert((sx16(M16[wp(ac3, 0x34)])) >=s 0, "P58 derived dst-ac0 @70165BCB")
70165BCB	70165BB4	8	WCMV	DEFEND	src/ac1	varying	base-class	yes		assert((sx16(M16[wp(ac3, 0x34)])) >=s 0, "P58 base-class src-ac1 @70165BCB")
70165BD4	70165BB4	10	WCMV	DEFEND	dst/ac0	expr	derived	no	70165BB4:8 src/ac1	assert(((sx16(M16[wp(ac3, 0x34)]) + 3)) >=s 0, "P58 derived dst-ac0 @70165BD4")
70165BD4	70165BB4	10	WCMV	DEFEND	src/ac1	expr	derived	no	70165BB4:8 src/ac1	assert(((sx16(M16[wp(ac3, 0x34)]) + 3)) >=s 0, "P58 derived src-ac1 @70165BD4")
70165BE5	70165BB4	13	WCMV	DEFEND	dst/ac0	expr	derived	no	70165BB4:8 src/ac1	assert(((sx16(M16[wp(ac3, 0x34)]) + 0x2C)) >=s 0, "P58 derived dst-ac0 @70165BE5")
70165BE5	70165BB4	13	WCMV	DEFEND	src/ac1	expr	derived	no	70165BB4:8 src/ac1	assert(((sx16(M16[wp(ac3, 0x34)]) + 0x2C)) >=s 0, "P58 derived src-ac1 @70165BE5")
70165C62	70165C4A	9	WCMV	DEFEND	dst/ac0	lenload-expr	derived	no	70165C4A:9 src/ac1	assert((sx16(M16[wp(ac3, 0x34)])) >=s 0, "P58 derived dst-ac0 @70165C62")
70165C62	70165C4A	9	WCMV	DEFEND	src/ac1	varying	base-class	yes		assert((sx16(M16[wp(ac3, 0x34)])) >=s 0, "P58 base-class src-ac1 @70165C62")
70165C6B	70165C4A	11	WCMV	DEFEND	dst/ac0	expr	derived	no	70165C4A:9 src/ac1	assert(((sx16(M16[wp(ac3, 0x34)]) + 0x1A)) >=s 0, "P58 derived dst-ac0 @70165C6B")
70165C6B	70165C4A	11	WCMV	DEFEND	src/ac1	expr	derived	no	70165C4A:9 src/ac1	assert(((sx16(M16[wp(ac3, 0x34)]) + 0x1A)) >=s 0, "P58 derived src-ac1 @70165C6B")
70165C7C	70165C4A	14	WCMV	DEFEND	dst/ac0	expr	derived	no	70165C4A:9 src/ac1	assert(((sx16(M16[wp(ac3, 0x34)]) + 0x2C)) >=s 0, "P58 derived dst-ac0 @70165C7C")
70165C7C	70165C4A	14	WCMV	DEFEND	src/ac1	expr	derived	no	70165C4A:9 src/ac1	assert(((sx16(M16[wp(ac3, 0x34)]) + 0x2C)) >=s 0, "P58 derived src-ac1 @70165C7C")
70165D2A	70165D07	12	WCMV	DEFEND	dst/ac0	lenload-expr	derived	no	70165D07:12 src/ac1	assert((sx16(M16[((sx16(M16[wp(ac3, 5)]) * 0xC) - 0xFFFFD9A)])) >=s 0, "P58 derived dst-ac0 @70165D2A")
70165D2A	70165D07	12	WCMV	DEFEND	src/ac1	lenload-expr	base-class	yes		assert((sx16(M16[((sx16(M16[wp(ac3, 5)]) * 0xC) - 0xFFFFD9A)])) >=s 0, "P58 base-class src-ac1 @70165D2A")
70165D33	70165D07	14	WCMV	DEFEND	dst/ac0	expr	derived	no	70165D07:12 src/ac1	assert(((sx16(M16[((sx16(M16[wp(ac3, 5)]) * 0xC) - 0xFFFFD9A)]) + 4)) >=s 0, "P58 derived dst-ac0 @70165D33")
70165D33	70165D07	14	WCMV	DEFEND	src/ac1	expr	derived	no	70165D07:12 src/ac1	assert(((sx16(M16[((sx16(M16[wp(ac3, 5)]) * 0xC) - 0xFFFFD9A)]) + 4)) >=s 0, "P58 derived src-ac1 @70165D33")
70165D44	70165D07	17	WCMV	DEFEND	dst/ac0	expr	derived	no	70165D07:12 src/ac1	assert(((sx16(M16[((sx16(M16[wp(ac3, 5)]) * 0xC) - 0xFFFFD9A)]) + 0x1D)) >=s 0, "P58 derived dst-ac0 @70165D44")
70165D44	70165D07	17	WCMV	DEFEND	src/ac1	expr	derived	no	70165D07:12 src/ac1	assert(((sx16(M16[((sx16(M16[wp(ac3, 5)]) * 0xC) - 0xFFFFD9A)]) + 0x1D)) >=s 0, "P58 derived src-ac1 @70165D44")
70165DCC	70165DCC	0	WCMV	DEFEND	dst/ac0	register	cond	yes		assert((ac0) >=s 0, "P58 cond dst-ac0 @70165DCC")
70165DCC	70165DCC	0	WCMV	DEFEND	src/ac1	register	derived	no	residue chain	assert((ac1) >=s 0, "P58 derived src-ac1 @70165DCC")
70165DFD	70165DD7	15	WCMV	DEFEND	dst/ac0	lenload-expr	derived	no	70165DD7:15 src/ac1	assert((sx16(M16[((sx16(M16[wp(ac3, 0x2C)]) * 0x10) - 0xFFFF6CE)])) >=s 0, "P58 derived dst-ac0 @70165DFD")
70165DFD	70165DD7	15	WCMV	DEFEND	src/ac1	lenload-expr	base-class	yes		assert((sx16(M16[((sx16(M16[wp(ac3, 0x2C)]) * 0x10) - 0xFFFF6CE)])) >=s 0, "P58 base-class src-ac1 @70165DFD")
70165E06	70165DD7	17	WCMV	DEFEND	dst/ac0	expr	derived	no	70165DD7:15 src/ac1	assert(((sx16(M16[((sx16(M16[wp(ac3, 0x2C)]) * 0x10) - 0xFFFF6CE)]) + 0x18)) >=s 0, "P58 derived dst-ac0 @70165E06")
70165E06	70165DD7	17	WCMV	DEFEND	src/ac1	expr	derived	no	70165DD7:15 src/ac1	assert(((sx16(M16[((sx16(M16[wp(ac3, 0x2C)]) * 0x10) - 0xFFFF6CE)]) + 0x18)) >=s 0, "P58 derived src-ac1 @70165E06")
70165E0D	70165DD7	19	WCMV	DEFEND	dst/ac0	lenload-expr	derived	no	70165DD7:19 src/ac1	assert((sx16(M16[wp(ac3, 0x12)])) >=s 0, "P58 derived dst-ac0 @70165E0D")
70165E0D	70165DD7	19	WCMV	DEFEND	src/ac1	varying	base-class	yes		assert((sx16(M16[wp(ac3, 0x12)])) >=s 0, "P58 base-class src-ac1 @70165E0D")
70165E18	70165DD7	21	WCMV	DEFEND	dst/ac0	expr	derived	no	70165DD7:15 src/ac1 & 70165DD7:19 src/ac1	assert(((sx16(M16[((sx16(M16[wp(ac3, 0x2C)]) * 0x10) - 0xFFFF6CE)]) + sx16(M16[wp(ac3, 0x12)]) + 0x18)) >=s 0, "P58 derived dst-ac0 @70165E18")
70165E18	70165DD7	21	WCMV	DEFEND	src/ac1	expr	derived	no	70165DD7:15 src/ac1 & 70165DD7:19 src/ac1	assert(((sx16(M16[((sx16(M16[wp(ac3, 0x2C)]) * 0x10) - 0xFFFF6CE)]) + sx16(M16[wp(ac3, 0x12)]) + 0x18)) >=s 0, "P58 derived src-ac1 @70165E18")
70165EDE	70165EC6	9	WCMV	DEFEND	dst/ac0	lenload-expr	derived	no	70165EC6:9 src/ac1	assert((sx16(M16[wp(ac3, 0x34)])) >=s 0, "P58 derived dst-ac0 @70165EDE")
70165EDE	70165EC6	9	WCMV	DEFEND	src/ac1	varying	base-class	yes		assert((sx16(M16[wp(ac3, 0x34)])) >=s 0, "P58 base-class src-ac1 @70165EDE")
70165EE7	70165EC6	11	WCMV	DEFEND	dst/ac0	expr	derived	no	70165EC6:9 src/ac1	assert(((sx16(M16[wp(ac3, 0x34)]) + 0x1A)) >=s 0, "P58 derived dst-ac0 @70165EE7")
70165EE7	70165EC6	11	WCMV	DEFEND	src/ac1	expr	derived	no	70165EC6:9 src/ac1	assert(((sx16(M16[wp(ac3, 0x34)]) + 0x1A)) >=s 0, "P58 derived src-ac1 @70165EE7")
70165EF8	70165EC6	14	WCMV	DEFEND	dst/ac0	expr	derived	no	70165EC6:9 src/ac1	assert(((sx16(M16[wp(ac3, 0x34)]) + 0x2C)) >=s 0, "P58 derived dst-ac0 @70165EF8")
70165EF8	70165EC6	14	WCMV	DEFEND	src/ac1	expr	derived	no	70165EC6:9 src/ac1	assert(((sx16(M16[wp(ac3, 0x34)]) + 0x2C)) >=s 0, "P58 derived src-ac1 @70165EF8")
70165F5A	70165F2D	15	WCMV	DEFEND	dst/ac0	register	derived	no	70165F2D:15 src/ac1	assert((ac0) >=s 0, "P58 derived dst-ac0 @70165F5A")
70165F5A	70165F2D	15	WCMV	DEFEND	src/ac1	register	base-class	yes		assert((ac1) >=s 0, "P58 base-class src-ac1 @70165F5A")
70165F5A	70165F2D	21	WCMV	DEFEND	dst/ac0	register	derived	no	70165F2D:15 src/ac1	assert((ac0) >=s 0, "P58 derived dst-ac0 @70165F5A")
70165F5A	70165F2D	21	WCMV	DEFEND	src/ac1	register	derived	no	70165F2D:15 src/ac1	assert((ac1) >=s 0, "P58 derived src-ac1 @70165F5A")
70165F6B	70165F2D	27	WCMV	DEFEND	dst/ac0	register	derived	no	70165F2D:15 src/ac1	assert((ac0) >=s 0, "P58 derived dst-ac0 @70165F6B")
70165F6B	70165F2D	27	WCMV	DEFEND	src/ac1	register	derived	no	70165F2D:15 src/ac1	assert((ac1) >=s 0, "P58 derived src-ac1 @70165F6B")
70166166	70166144	16	WCMV	DIED	dst/ac0	lenload-expr	derived	no	70166144:16 src/ac1	assert((sx16(M16[M32[wp(ac3, -0xC)]])) >=s 0, "P58 derived dst-ac0 @70166166")
70166166	70166144	16	WCMV	DIED	src/ac1	varying	base-class	yes		assert((sx16(M16[M32[wp(ac3, -0xC)]])) >=s 0, "P58 base-class src-ac1 @70166166")
7016617A	70166144	31	WCMV	DIED	dst/ac0	register	derived	no	70166144:16 src/ac1	assert((ac0) >=s 0, "P58 derived dst-ac0 @7016617A")
7016617A	70166144	31	WCMV	DIED	src/ac1	register	derived	no	70166144:16 src/ac1	assert((ac1) >=s 0, "P58 derived src-ac1 @7016617A")
7016619C	70166193	5	WCMV	DIED	dst/ac0	register	cond	yes		assert((ac0) >=s 0, "P58 cond dst-ac0 @7016619C")
7016619C	70166193	5	WCMV	DIED	src/ac1	register	cond	yes		assert((ac1) >=s 0, "P58 cond src-ac1 @7016619C")
701661D1	701661AE	17	WCMV	DIED	dst/ac0	lenload-expr	derived	no	701661AE:17 src/ac1	assert((sx16(M16[M32[wp(ac3, -0xC)]])) >=s 0, "P58 derived dst-ac0 @701661D1")
701661D1	701661AE	17	WCMV	DIED	src/ac1	varying	base-class	yes		assert((sx16(M16[M32[wp(ac3, -0xC)]])) >=s 0, "P58 base-class src-ac1 @701661D1")
701661E5	701661AE	32	WCMV	DIED	dst/ac0	register	derived	no	701661AE:17 src/ac1	assert((ac0) >=s 0, "P58 derived dst-ac0 @701661E5")
701661E5	701661AE	32	WCMV	DIED	src/ac1	register	derived	no	701661AE:17 src/ac1	assert((ac1) >=s 0, "P58 derived src-ac1 @701661E5")
70166207	701661FE	5	WCMV	DIED	dst/ac0	register	cond	yes		assert((ac0) >=s 0, "P58 cond dst-ac0 @70166207")
70166207	701661FE	5	WCMV	DIED	src/ac1	register	cond	yes		assert((ac1) >=s 0, "P58 cond src-ac1 @70166207")
701664EA	701664D4	6	WCMV	DISPLAY_MAGIC	dst/ac0	lenload-expr	derived	no	701664D4:6 src/ac1	assert((sx16(M16[wp(ac3, 0x1C)])) >=s 0, "P58 derived dst-ac0 @701664EA")
701664EA	701664D4	6	WCMV	DISPLAY_MAGIC	src/ac1	varying	base-class	yes		assert((sx16(M16[wp(ac3, 0x1C)])) >=s 0, "P58 base-class src-ac1 @701664EA")
701664F6	701664F6	0	WCMV	DISPLAY_MAGIC	dst/ac0	register	cond	yes		assert((ac0) >=s 0, "P58 cond dst-ac0 @701664F6")
701664FD	701664FD	0	WCMV	DISPLAY_MAGIC	dst/ac0	register	derived	no	residue chain	assert((ac0) >=s 0, "P58 derived dst-ac0 @701664FD")
701664FD	701664FD	0	WCMV	DISPLAY_MAGIC	src/ac1	register	derived	no	residue chain	assert((ac1) >=s 0, "P58 derived src-ac1 @701664FD")
7016652A	70166514	6	WCMV	DISPLAY_MAGIC	dst/ac0	lenload-expr	derived	no	70166514:6 src/ac1	assert((sx16(M16[wp(ac3, 0x4E)])) >=s 0, "P58 derived dst-ac0 @7016652A")
7016652A	70166514	6	WCMV	DISPLAY_MAGIC	src/ac1	varying	base-class	yes		assert((sx16(M16[wp(ac3, 0x4E)])) >=s 0, "P58 base-class src-ac1 @7016652A")
70166536	70166536	0	WCMV	DISPLAY_MAGIC	dst/ac0	register	unknown	yes		assert((ac0) >=s 0, "P58 unknown dst-ac0 @70166536")
7016653D	7016653D	0	WCMV	DISPLAY_MAGIC	dst/ac0	register	derived	no	residue chain	assert((ac0) >=s 0, "P58 derived dst-ac0 @7016653D")
7016653D	7016653D	0	WCMV	DISPLAY_MAGIC	src/ac1	register	derived	no	residue chain	assert((ac1) >=s 0, "P58 derived src-ac1 @7016653D")
70166589	70166564	18	WCMV	DISPLAY_MAGIC	dst/ac0	lenload-expr	derived	no	70166564:18 src/ac1	assert((sx16(M16[((sx16(M16[wp(ac3, 2)]) * 0x10) - 0xFEAFBB8)])) >=s 0, "P58 derived dst-ac0 @70166589")
70166589	70166564	18	WCMV	DISPLAY_MAGIC	src/ac1	lenload-expr	base-class	yes		assert((sx16(M16[((sx16(M16[wp(ac3, 2)]) * 0x10) - 0xFEAFBB8)])) >=s 0, "P58 base-class src-ac1 @70166589")
70166591	70166564	20	WCMV	DISPLAY_MAGIC	dst/ac0	expr	unknown	yes		assert(((0 - sx16(M16[((sx16(M16[wp(ac3, 2)]) * 0x10) - 0xFEAFBB8)]) + 0x1E)) >=s 0, "P58 unknown dst-ac0 @70166591")
70166591	70166564	20	WCMV	DISPLAY_MAGIC	src/ac1	expr	unknown	yes		assert(((0 - sx16(M16[((sx16(M16[wp(ac3, 2)]) * 0x10) - 0xFEAFBB8)]) + 0x1E)) >=s 0, "P58 unknown src-ac1 @70166591")
701665C6	70166564	51	WCMV	DISPLAY_MAGIC	dst/ac0	lenload-expr	derived	no	70166564:51 src/ac1	assert((sx16(M16[wp(ac3, 6)])) >=s 0, "P58 derived dst-ac0 @701665C6")
701665C6	70166564	51	WCMV	DISPLAY_MAGIC	src/ac1	varying	base-class	yes		assert((sx16(M16[wp(ac3, 6)])) >=s 0, "P58 base-class src-ac1 @701665C6")
701665E2	701665D9	5	WCMV	DISPLAY_MAGIC	dst/ac0	register	unknown	yes		assert((ac0) >=s 0, "P58 unknown dst-ac0 @701665E2")
701665E2	701665D9	5	WCMV	DISPLAY_MAGIC	src/ac1	register	unknown	yes		assert((ac1) >=s 0, "P58 unknown src-ac1 @701665E2")
70166703	701666F8	2	WCMV	DISPLAY_CAVE	dst/ac0	expr	cond	yes		assert(((sx16(M16[0x70000A4E]) + 2)) >=s 0, "P58 cond dst-ac0 @70166703")
70166703	701666F8	2	WCMV	DISPLAY_CAVE	src/ac1	expr	cond	yes		assert(((sx16(M16[0x70000A4E]) + 2)) >=s 0, "P58 cond src-ac1 @70166703")
701667B8	7016679D	16	WCMV	DISPLAY_CAVE	dst/ac0	register	derived	no	7016679D:16 src/ac1	assert((ac0) >=s 0, "P58 derived dst-ac0 @701667B8")
701667B8	7016679D	16	WCMV	DISPLAY_CAVE	src/ac1	register	base-class	yes		assert((ac1) >=s 0, "P58 base-class src-ac1 @701667B8")
701667E2	7016679D	23	WCMV	DISPLAY_CAVE	dst/ac0	register	derived	no	7016679D:16 src/ac1	assert((ac0) >=s 0, "P58 derived dst-ac0 @701667E2")
701667E2	7016679D	23	WCMV	DISPLAY_CAVE	src/ac1	register	derived	no	7016679D:16 src/ac1	assert((ac1) >=s 0, "P58 derived src-ac1 @701667E2")
701667E2	7016679D	31	WCMV	DISPLAY_CAVE	dst/ac0	register	derived	no	7016679D:16 src/ac1	assert((ac0) >=s 0, "P58 derived dst-ac0 @701667E2")
701667E2	7016679D	31	WCMV	DISPLAY_CAVE	src/ac1	register	derived	no	7016679D:16 src/ac1	assert((ac1) >=s 0, "P58 derived src-ac1 @701667E2")
701667E2	7016679D	38	WCMV	DISPLAY_CAVE	dst/ac0	register	derived	no	7016679D:16 src/ac1	assert((ac0) >=s 0, "P58 derived dst-ac0 @701667E2")
701667E2	7016679D	38	WCMV	DISPLAY_CAVE	src/ac1	register	derived	no	7016679D:16 src/ac1	assert((ac1) >=s 0, "P58 derived src-ac1 @701667E2")
701667F5	701667ED	1	WCMV	DISPLAY_CAVE	dst/ac0	register	unknown	yes		assert((ac0) >=s 0, "P58 unknown dst-ac0 @701667F5")
701667F5	701667ED	1	WCMV	DISPLAY_CAVE	src/ac1	register	unknown	yes		assert((ac1) >=s 0, "P58 unknown src-ac1 @701667F5")
70166813	701667F8	16	WCMV	DISPLAY_CAVE	dst/ac0	register	derived	no	701667F8:16 src/ac1	assert((ac0) >=s 0, "P58 derived dst-ac0 @70166813")
70166813	701667F8	16	WCMV	DISPLAY_CAVE	src/ac1	register	base-class	yes		assert((ac1) >=s 0, "P58 base-class src-ac1 @70166813")
7016683D	701667F8	23	WCMV	DISPLAY_CAVE	dst/ac0	register	derived	no	701667F8:16 src/ac1	assert((ac0) >=s 0, "P58 derived dst-ac0 @7016683D")
7016683D	701667F8	23	WCMV	DISPLAY_CAVE	src/ac1	register	derived	no	701667F8:16 src/ac1	assert((ac1) >=s 0, "P58 derived src-ac1 @7016683D")
7016683D	701667F8	31	WCMV	DISPLAY_CAVE	dst/ac0	register	unknown	yes		assert((ac0) >=s 0, "P58 unknown dst-ac0 @7016683D")
7016683D	701667F8	31	WCMV	DISPLAY_CAVE	src/ac1	register	unknown	yes		assert((ac1) >=s 0, "P58 unknown src-ac1 @7016683D")
7016683D	701667F8	38	WCMV	DISPLAY_CAVE	dst/ac0	register	unknown	yes		assert((ac0) >=s 0, "P58 unknown dst-ac0 @7016683D")
7016683D	701667F8	38	WCMV	DISPLAY_CAVE	src/ac1	register	unknown	yes		assert((ac1) >=s 0, "P58 unknown src-ac1 @7016683D")
70166850	70166848	1	WCMV	DISPLAY_CAVE	dst/ac0	register	unknown	yes		assert((ac0) >=s 0, "P58 unknown dst-ac0 @70166850")
70166850	70166848	1	WCMV	DISPLAY_CAVE	src/ac1	register	unknown	yes		assert((ac1) >=s 0, "P58 unknown src-ac1 @70166850")
70166874	70166859	16	WCMV	DISPLAY_CAVE	dst/ac0	register	derived	no	70166859:16 src/ac1	assert((ac0) >=s 0, "P58 derived dst-ac0 @70166874")
70166874	70166859	16	WCMV	DISPLAY_CAVE	src/ac1	register	base-class	yes		assert((ac1) >=s 0, "P58 base-class src-ac1 @70166874")
7016689E	70166859	23	WCMV	DISPLAY_CAVE	dst/ac0	register	derived	no	70166859:16 src/ac1	assert((ac0) >=s 0, "P58 derived dst-ac0 @7016689E")
7016689E	70166859	23	WCMV	DISPLAY_CAVE	src/ac1	register	derived	no	70166859:16 src/ac1	assert((ac1) >=s 0, "P58 derived src-ac1 @7016689E")
7016689E	70166859	31	WCMV	DISPLAY_CAVE	dst/ac0	register	derived	no	70166859:16 src/ac1	assert((ac0) >=s 0, "P58 derived dst-ac0 @7016689E")
7016689E	70166859	31	WCMV	DISPLAY_CAVE	src/ac1	register	derived	no	70166859:16 src/ac1	assert((ac1) >=s 0, "P58 derived src-ac1 @7016689E")
